University of Bridgeport (UB),63.5%
Eastern Connecticut State University (Eastern),67.4%
Quinnipiac University,68.7%
Fairfield University,69.4%
University of New Haven (UNH),71.5%
Southern Connecticut State University (SCSU),75.5%
Albertus Magnus College,81.3%
University of Saint Joseph (St. Joseph College),81.6%
Delaware State University (Del State),42.7%
Goldey-Beacom College,53.7%
University of Delaware (UD),59.4%
Wesley College,62.6%
Trinity College of Florida,21.6%
Edward Waters College,27.5%
Florida Christian College (FCC),34.6%
The Baptist College of Florida,36.3%
St. Thomas University,39.4%
University of Miami (UM),39.7%
Florida International University (FIU),40.5%
Flagler College-St Augustine (Flagler),41.5%
Florida Atlantic University (FAU),42.3%
University of South Florida-Main Campus (USF),43.2%
University of Florida (UF),44.1%
Jacksonville University (JU),46.1%
University of Central Florida (UCF),46.2%
The University of Tampa (UT),46.9%
Florida Agricultural and Mechanical University (FAMU),48.6%
University of South Florida-St. Petersburg,51.3%
University of North Florida (UNF),52.0%
Warner University,52.4%
Florida State University (FSU),53.7%
Northwood University-Florida,54.0%
Nova Southeastern University (NSU),55.5%
Johnson & Wales University-North Miami,55.7%
Florida Southern College (Florida Southern),55.7%
Rollins College (Rollins),55.8%
Florida Institute of Technology (Florida Tech),59.0%
New College of Florida,59.6%
Stetson University,60.3%
The University of West Florida (UWF),60.8%
Ave Maria University,65.2%
Florida Memorial University,65.8%
Webber International University,66.8%
Florida College,67.6%
Florida Gulf Coast University (FGCU),67.6%
Eckerd College,68.5%
Hodges University,70.8%
Clearwater Christian College (CCC),72.2%
Bethune-Cookman University (Bethune-Cookman),73.5%
Ringling College of Art and Design,75.0%
Embry-Riddle Aeronautical University-Daytona Beach,78.5%
Saint Leo University (SLU),84.8%
Embry-Riddle Aeronautical University-Worldwide,94.9%
Keiser University-Ft Lauderdale,95.8%
Palm Beach Atlantic University (Palm Beach Atlantic),95.9%
Adventist University of Health Sciences (Florida Hospital College),96.1%
Emory University,26.7%
Albany State University (ASU),28.7%
Brenau University,29.8%
Fort Valley State University,32.9%
Spelman College,37.6%
Clayton State University,40.5%
Toccoa Falls College,41.1%
Gordon State College (Gordon),42.6%
Dalton State College (DSC),43.4%
Macon State College (MSC),46.9%
LaGrange College,49.3%
Georgia Southern University,49.5%
Wesleyan College,50.2%
Young Harris College (YHC),50.4%
Emmanuel College,50.9%
Georgia State University (GSU),51.0%
Georgia Institute of Technology-Main Campus (Georgia Tech),51.2%
Columbus State University (CSU),51.9%
Reinhardt University,53.1%
Augusta State University (GRU),54.7%
University of West Georgia (UWG),55.8%
Point University (Point U),56.2%
North Georgia College & State University (NGCSU),56.2%
Piedmont College,56.5%
Covenant College,57.4%
Valdosta State University (VSU),59.2%
Agnes Scott College,62.0%
Kennesaw State University (KSU),62.5%
Savannah College of Art and Design (SCAD),62.9%
University of Georgia (UGA),63.0%
Mercer University,63.1%
Shorter University (Shorter),64.4%
Berry College,66.1%
Georgia College & State University (Georgia College),66.2%
Georgia Southwestern State University (GSW),66.4%
Morehouse College,66.4%
Thomas University,66.5%
Atlanta Metropolitan State College (AMC),68.6%
Clark Atlanta University (CAU),68.3%
Abraham Baldwin Agricultural College (ABAC),69.0%
Paine College,69.4%
Life University,71.2%
Armstrong Atlantic State University (AASU),73.6%
Southern Polytechnic State University (SPSU),79.0%
Savannah State University (SSU),79.5%
Oglethorpe University,82.7%
Middle Georgia College (MGC),85.8%
Truett-McConnell College,86.1%
College of Coastal Georgia,88.3%
Brewton-Parker College,92.2%
Gainesville State College (Gainesville College),98.9%
Brigham Young University-Hawaii (BYUH),23.0%
Remington College-Honolulu Campus,65.2%
